Column1	Column2	
311	lnc-USP50-2	
312	lnc-ZNF180-2	
313	lnc-ZNF322-1	
314	lnc-ZNF354A-1	
315	lnc-ZNF674-1	
316	LOC100130476	
317	LOC100132354	
318	LOC100287225	
319	LOC101926975	
320	LOC283177	
321	LOC389641	
322	LOC440905	
323	LOC572558	
324	LOC728228	
325	LOC729966	
326	LOXL1-AS1	
327	LRRC75A-AS1	
328	LSINCT5	
329	LUADT1	
330	LUCAT1	
331	LUNAR1	
332	MAGI1-IT1	
333	MALAT1	
334	MAP3K14	
335	MAP3K20-AS1	
336	MAPKAPK5-AS1	
337	MAPT-AS1	
338	MCHR2-AS1	
339	MDC1-AS1	
340	MEG3	
341	MEG8	
342	MESTIT1	
343	MFI2	
344	MGAT3-AS1	
345	MHRT	
346	MIAT	
347	MIF-AS1	
348	MINCR	
349	MIR100HG	
350	MIR132	
351	MIR155HG	
352	MIR17HG	
353	MIR2052HG	
354	MIR22HG	
355	MIR31HG	
356	MIR4435-2HG	
357	MIR503HG	
358	MIR7-3HG	
359	MIR99AHG	
360	MRUL	
361	MT1DP	
362	MYCNUT	
363	n340599	
364	n375709	
365	NALT1	
366	NAMA	
367	NBAT1	
368	NBR2	
369	NCRUPAR	
370	NEAT1	
371	NEAT1_2	
372	NEXN-AS1	
373	NKILA	
374	NONHSAG011351	
375	NONHSAG051968	
376	NONHSAT037832	
377	NONHSAT041499	
378	NONHSAT089447	
379	NONHSAT104436	
380	NONHSAT112178	
381	NONHSAT114616.2	
382	NONHSAT130497	
383	NORAD	
384	NPPA-AS1	
385	NPTN-IT1	
386	NR_001284	
387	NR_003573	
388	NR_024118	
389	NR_026689	
390	NRIR	
391	NRON	
392	NUTF2P3	
393	OR3A4	
394	OVAAL	
395	P2RX7-V3	
396	PACERR	
397	PAN	
398	PANDAR	
399	PAUPAR	
400	PAX8-AS1	
401	PCA3	
402	PCAT1	
403	PCAT14	
404	PCAT18	
405	PCAT2	
406	PCAT29	
407	PCAT5	
408	PCAT6	
409	PCBP2-OT1	
410	PCGEM1	
411	PCNA-AS1	
412	PDZRN3-AS1	
413	PICSAR	
414	Pinc	
415	PINK1-AS	
416	PISRT1	
417	PMS2L2	
418	POU6F2-AS2	
419	Ppp1r1b	
420	PRNCR1	
421	PRR26	
422	PSORS1C3	
423	PTCSC1	
424	PTCSC2	
425	PTCSC3	
426	PTENP1	
427	PTPRD-AS1	
428	PTPRG-AS1	
429	PVT1	
430	RAMP2-AS1	
431	RASSF1-AS1	
432	RBM5-AS1	
433	RBMY2FP	
434	RGMB-AS1	
435	RMRP	
436	RMST	
437	RN7SK	
438	RN7SL1	
439	RNCR3	
440	RP11-1149O23.2	
441	RP11-119F7.4	
442	RP11-128A17.1	
443	RP11-140I24	
444	RP11-150O12.3	
445	RP11-160H22.5	
446	RP11-169D4.1	
447	RP11-181G12.2	
448	RP11-248E9.5	
449	RP11-254I22.1	
450	RP11-296A18.3	
451	RP1130-1	
452	RP11-307C12.11	
453	RP11-325I22.2	
454	RP11-344E13.3	
455	RP11-359E19.2	
456	RP11-363G2.4	
457	RP11-38F22.1	
458	RP11-395G23.3	
459	RP11-397D12.4	
460	RP1-13P20.6	
461	RP11-434D9.1	
462	RP11-445H22.4	
463	RP11-456D7.1	
464	RP11-462C24.1	
465	RP11-473L15.2	
466	RP11-501O2	
467	RP11-523H24.3	
468	RP11-567G11.1	
469	RP11-57P19.1	
470	RP11-702B10.1	
471	RP11-789C1.1	
472	RP1-179N16.3	
473	RP11-80H5.7	
474	RP11-838N2.4	
475	RP11-89K21	
476	RP1-223E5.4	
477	RP1-90G24.10	
478	RP4-583P15.10	
479	RP4-620F22.3	
480	RP4-639J15.1	
481	RP4-799P18.3	
482	RP5-1014O16.1	
483	RP5-833A20.1	
484	RP5-843L14.1	
485	RPLP0P2	
486	RSU1P2	
487	RUNX1-IT1	
488	SAMMSON	
489	SBF2-AS1	
490	SCAANT1-AS	
491	Scarb2	
492	SCHLAP1	
493	Sema3g	
494	SGO1-AS1	
495	SLC25A25-AS1	
496	SLC26A4-AS1	
497	SMAD1-AS1	
498	Smad7	
499	SMIM2-IT1	
500	SNHG1	
501	SNHG11	
502	SNHG12	
503	SNHG14	
504	SNHG15	
505	SNHG16	
506	SNHG18	
507	SNHG20	
508	SNHG3	
509	SNHG4	
510	SNHG5	
511	SNHG6	
512	SNHG7	
513	SOCS2-AS1	
514	SOX2-OT	
515	Sox4	
516	SPRY4-IT1	
517	ST8SIA6-AS1	
518	STXBP5-AS1	
519	SUMO1P3	
520	SUZ12P1	
521	TARID	
522	TC0101441	
523	TCL6	
524	TCONS_00003876	
525	TCONS_00018278	
526	TCONS_00026102	
527	TDRG1	
528	TERC	
529	THRIL	
530	TINCR	
531	TP73-AS1	
532	TPT1-AS1	
533	TRAF3IP2-AS1	
534	TRIM52-AS1	
535	Trp53cor1	
536	TRPM2-AS	
537	Trpm3	
538	TSIX	
539	TTTY7	
540	TUG1	
541	TUNAR	
542	TUSC7	
543	TUSC8	
544	U90926	
545	UCA1	
546	UCHL1-AS1	
547	UFC1	
